onset	duration	sample	value
0.0000000000	n/a	0	boundary
1.3610000000	1.0000000000	1361	s11
301.3820000000	1.0000000000	301382	s12
350.0660000000	1.0000000000	350066	s22
368.1170000000	1.0000000000	368117	s22
388.1670000000	1.0000000000	388167	s22
408.2170000000	1.0000000000	408217	s22
428.2680000000	1.0000000000	428268	s22
448.3180000000	1.0000000000	448318	s22
468.3680000000	1.0000000000	468368	s22
488.4190000000	1.0000000000	488419	s22
507.4690000000	1.0000000000	507469	s22
525.5190000000	1.0000000000	525519	s22
544.5690000000	1.0000000000	544569	s22
563.6200000000	1.0000000000	563620	s22
583.6700000000	1.0000000000	583670	s22
601.7200000000	1.0000000000	601720	s22
620.7710000000	1.0000000000	620771	s22
658.4050000000	1.0000000000	658405	s13
958.4260000000	1.0000000000	958426	s14
972.0760000000	1.0000000000	972076	s22
990.1270000000	1.0000000000	990127	s22
1008.1770000000	1.0000000000	1008177	s22
1027.2270000000	1.0000000000	1027227	s22
1045.2780000000	1.0000000000	1045278	s22
1064.3280000000	1.0000000000	1064328	s22
1084.3780000000	1.0000000000	1084378	s22
1104.4290000000	1.0000000000	1104429	s22
1123.4790000000	1.0000000000	1123479	s22
1142.5290000000	1.0000000000	1142529	s22
1160.5790000000	1.0000000000	1160579	s22
1180.6300000000	1.0000000000	1180630	s22
1199.6800000000	1.0000000000	1199680	s22
1217.7300000000	1.0000000000	1217730	s22
1235.7810000000	1.0000000000	1235781	s22
1500.1180000000	1.0000000000	1500118	s15
1805.1400000000	1.0000000000	1805140	s16
1828.7240000000	1.0000000000	1828724	s32
1846.7740000000	1.0000000000	1846774	s32
1866.8240000000	1.0000000000	1866824	s32
1886.8750000000	1.0000000000	1886875	s32
1906.9250000000	1.0000000000	1906925	s32
1926.9750000000	1.0000000000	1926975	s32
1947.0260000000	1.0000000000	1947026	s32
1967.0760000000	1.0000000000	1967076	s32
1986.1260000000	1.0000000000	1986126	s32
2004.1760000000	1.0000000000	2004176	s32
2023.2270000000	1.0000000000	2023227	s32
2042.2770000000	1.0000000000	2042277	s32
2062.3270000000	1.0000000000	2062327	s32
2080.3780000000	1.0000000000	2080378	s32
2099.4280000000	1.0000000000	2099428	s32
2143.7620000000	1.0000000000	2143762	s17
2393.6100000000	1.0000000000	2393610	s11
2394.3270000000	1.0000000000	2394327	s12
2422.8550000000	1.0000000000	2422855	s11
2423.0210000000	1.0000000000	2423021	s12
2471.4890000000	1.0000000000	2471489	s32
2489.5390000000	1.0000000000	2489539	s32
2507.5730000000	1.0000000000	2507573	s32
2526.6230000000	1.0000000000	2526623	s32
2544.6730000000	1.0000000000	2544673	s32
2563.7240000000	1.0000000000	2563724	s32
2583.7740000000	1.0000000000	2583774	s32
2603.8240000000	1.0000000000	2603824	s32
2622.8750000000	1.0000000000	2622875	s32
2641.9250000000	1.0000000000	2641925	s32
2659.9750000000	1.0000000000	2659975	s32
2680.0260000000	1.0000000000	2680026	s32
2699.0760000000	1.0000000000	2699076	s32
2717.1260000000	1.0000000000	2717126	s32
2735.1760000000	1.0000000000	2735176	s32
2756.4300000000	1.0000000000	2756430	Impedance
